Country,Year,Household_Size,Real_GDP_Per_Capita,Train_Transport_Pct,Bus_Transport_Pct,Urban_Population_Pct,All_Transport_Pct,Fuel_Price_Index,Surface_Area_km2,Pop
Austria,2003,2.4,38880,9.5,10.9,59.375,20.5,86.60833333333333,83878,8100273
Austria,2004,2.4,39620,9.5,11,59.094,20.4,95.16305555555556,83878,8142573
Austria,2005,2.3,40270,9.8,10.5,58.813,20.3,109.10055555555556,83878,8201359
Austria,2006,2.3,41370,10,10.4,58.532,20.4,117.0286111111111,83878,8254298
Austria,2007,2.3,42790,10.1,10.8,58.249,20.8,118.70722222222223,83878,8282984
Austria,2008,2.3,43270,11.7,11.1,57.966,22.8,139.87944444444443,83878,8307989
Austria,2009,2.3,41620,11.8,10.1,57.683,21.9,111.90555555555555,83878,8335003
Austria,2010,2.3,42280,11.7,10.4,57.399,22.1,128.74805555555557,83878,8351643
Austria,2011,2.3,43370,12.1,10.5,57.115,22.5,152.23,83878,8375164
Austria,2012,2.3,43450,11.8,10,57.147,21.8,162.6675,83878,8408121
Austria,2013,2.3,43080,12.3,9.9,57.336,22.2,156.3477777777778,83878,8451860
Austria,2014,2.2,43070,12.2,9.9,57.526,22.1,149.98555555555555,83878,8507786
Austria,2015,2.2,43200,12.1,9.9,57.715,21.9,130.23916666666665,83878,8584926
Austria,2016,2.2,43550,12.1,9.9,57.905,22,119.11194444444443,83878,8700471
Austria,2017,2.2,44260,12,10,58.094,22,127.98333333333332,83878,8772865
Austria,2018,2.2,45140,12.4,9.1,58.297,21.5,140.89333333333332,83878,8822267
Austria,2019,2.2,45730,12.4,8.9,58.515,21.4,138.72444444444443,83878,8858775
Austria,2020,2.2,42650,8.8,9.2,58.748,18,119.7311111111111,83878,8901064
Austria,2021,2.2,44580,9.3,8.9,58.995,18.2,141.0625,83878,8932664
Austria,2022,2.2,46430,12.6,9.5,59.256,22.1,208.47222222222223,83878,8978929
Austria,2023,2.2,45670,13.6,9.5,59.53,23.1,189.3,83878,9104772
Austria,2024,2.2,45140,13.6,9.5,59.819,23.1,184.77194444444444,83878,9158750
Belgium,2003,2.3,36300,6.5,13,97.296,19.4,87.90944444444443,30528,10355844
Belgium,2004,2.3,37440,7.1,13.2,97.35,20.4,98.46027777777778,30528,10396421
Belgium,2005,2.3,38100,6.3,13,97.403,19.3,118.56222222222222,30528,10445852
Belgium,2006,2.3,38810,6.6,13.2,97.454,19.8,127.52083333333333,30528,10511382
Belgium,2007,2.3,39950,6.6,14.3,97.505,20.9,128.66527777777776,30528,10584534
Belgium,2008,2.3,39810,7.2,14.4,97.555,21.6,149.0952777777778,30528,10666866
Belgium,2009,2.3,38740,7.3,13.3,97.603,20.6,117.84027777777777,30528,10753080
Belgium,2010,2.3,39420,7.5,12.3,97.651,19.8,139.18333333333334,30528,10839905
Belgium,2011,2.3,39670,7.7,12.8,97.698,20.5,165.1197222222222,30528,11000638
Belgium,2012,2.3,39510,7.5,12.4,97.744,19.9,177.29861111111111,30528,11075889
Belgium,2013,2.3,39440,7.7,15.1,97.789,22.8,168.46527777777777,30528,11137974
Belgium,2014,2.3,39960,8.2,11.5,97.833,19.6,160.79638888888888,30528,11180840
Belgium,2015,2.3,40310,8,10.9,97.876,18.9,133.83583333333334,30528,11237274
Belgium,2016,2.3,40590,7.7,10.5,97.919,18.2,121.51777777777778,30528,11311117
Belgium,2017,2.3,41030,7.9,10.2,97.961,18.2,137.58666666666667,30528,11351727
Belgium,2018,2.3,41610,8.9,10.2,98.001,19.1,155.93138888888888,30528,11398589
Belgium,2019,2.3,42400,9,10.3,98.041,19.3,154.96027777777778,30528,11455519
Belgium,2020,2.3,40190,7.3,8.1,98.079,15.4,133.71666666666667,30528,11522440
Belgium,2021,2.3,42530,6.9,8.1,98.117,15.1,162.30416666666667,30528,11554767
Belgium,2022,2.3,43860,9.2,9.6,98.153,18.8,221.52916666666667,30528,11617623
Belgium,2023,2.3,44230,9.4,10.3,98.189,19.6,197.20055555555555,30528,11742796
Belgium,2024,2.3,44460,9.4,10.3,98.224,19.6,195.34805555555556,30528,11817096
Bulgaria,2003,2.9,5020,5.5,28.1,69.879,33.5,71.79,110372,7805506
Bulgaria,2004,2.9,5380,5.1,25,70.233,30.2,76.68208333333332,110372,7745147
Bulgaria,2005,2.9,5790,4.8,24.3,70.584,29.1,90.1375,110372,7688573
Bulgaria,2006,2.9,6220,4.7,22.7,70.932,27.4,95.43291666666666,110372,7629371
Bulgaria,2007,2.9,6670,4.4,21.8,71.278,26.2,100.96416666666666,110372,7572673
Bulgaria,2008,2.9,7110,4,20.8,71.622,24.9,115.38041666666668,110372,7518002
Bulgaria,2009,2.9,6910,3.7,16.8,71.963,20.5,97.91541666666666,110372,7467119
Bulgaria,2010,2.9,7060,3.6,16.4,72.302,20,114.67875,110372,7421766
Bulgaria,2011,2.9,7390,3.5,15.9,72.638,19.4,129.46375,110372,7369431
Bulgaria,2012,2.8,7530,3.1,14.8,72.975,17.9,138.855,110372,7327224
Bulgaria,2013,2.7,7600,2.9,14,73.313,17,137.31875,110372,7202556
Bulgaria,2014,2.6,7770,2.6,15.1,73.651,17.7,131.36166666666665,110372,7117453
Bulgaria,2015,2.5,8130,2.3,14.6,73.99,16.9,112.28333333333335,110372,7029690
Bulgaria,2016,2.5,8490,2.2,14.1,74.329,16.3,99.23416666666667,110372,6938759
Bulgaria,2017,2.4,8840,2.1,13.1,74.669,15.2,107.77458333333334,110372,6849518
Bulgaria,2018,2.4,9170,2.2,12,75.008,14.2,117.06833333333333,110372,6757418
Bulgaria,2019,2.4,9650,2.2,13,75.347,15.3,115.51791666666666,110372,6664177
Bulgaria,2020,2.4,9440,2,8.6,75.686,10.6,100.46166666666666,110372,6569275
Bulgaria,2021,2.4,10250,2.1,8,76.025,10.1,117.8725,110372,6532117
Bulgaria,2022,2.3,10740,2.5,10.6,76.363,13.1,156.14791666666667,110372,6482484
Bulgaria,2023,2.3,10950,2.4,8.8,76.701,11.2,143.09,110372,6447710
Bulgaria,2024,2.3,11330,2.4,8.8,77.037,11.2,139.95041666666665,110372,6445481
Croatia,2003,2.8,10150,4.2,13.6,53.979,17.8,74.69458333333334,56594,4305384
Croatia,2004,2.8,10570,4.2,12.1,54.147,16.2,81.53583333333333,56594,4305725
Croatia,2005,2.8,11020,4.3,11.9,54.315,16.2,91.17875,56594,4310861
Croatia,2006,2.8,11570,4.4,11.8,54.483,16.3,95.83125,56594,4312487
Croatia,2007,2.8,12160,5,12.1,54.651,17.1,97.80166666666666,56594,4313530
Croatia,2008,2.8,12400,5.4,12.5,54.819,17.8,108.55958333333332,56594,4311967
Croatia,2009,2.8,11570,5.6,10.7,54.987,16.4,91.93708333333332,56594,4309796
Croatia,2010,2.8,11440,5.6,10.7,55.155,16.3,105.38416666666667,56594,4302847
Croatia,2011,2.8,11470,4.9,10.5,55.322,15.4,120.18416666666667,56594,4289857
Croatia,2012,2.8,11270,3.5,10.7,55.506,14.2,127.92083333333333,56594,4275984
Croatia,2013,2.8,11340,3.1,11.5,55.706,14.5,124.90499999999999,56594,4247803
Croatia,2014,2.8,11370,3,11.9,55.923,14.9,126.29375,56594,4217632
Croatia,2015,2.8,11760,3.1,11,56.155,14.1,110.71166666666666,56594,4180915
Croatia,2016,2.8,12320,2.7,12.3,56.403,15,101.65166666666666,56594,4131115
Croatia,2017,2.8,12910,2.4,13.4,56.667,15.7,109.6075,56594,4078769
Croatia,2018,2.8,13460,2.5,12.7,56.947,15.2,119.28583333333334,56594,4014341
Croatia,2019,2.7,14020,2.4,13.4,57.242,15.8,118.39666666666666,56594,3968676
Croatia,2020,2.7,12980,2,9.1,57.553,11.1,101.96708333333333,56594,3933511
Croatia,2021,2.7,14750,2.1,9.2,57.878,11.2,122.69791666666667,56594,3893026
Croatia,2022,2.7,15900,2.9,11.6,58.219,14.5,161.21541666666667,56594,3862305
Croatia,2023,2.7,16490,4,12.2,58.575,16.1,149.18458333333334,56594,3850894
Croatia,2024,2.7,17060,4,12.2,58.945,16.1,150.11541666666668,56594,3861967
Czechia,2003,2.5,14570,7.3,17.2,73.74,24.5,82.6875,78871.01262,10192649
Czechia,2004,2.5,15250,7.5,16,73.671,23.4,89.35416666666667,78871.01262,10195347
Czechia,2005,2.5,16180,7.3,17.2,73.602,24.5,95.47916666666667,78871.01262,10198855
Czechia,2006,2.5,17200,7.5,17.3,73.533,24.8,98.42083333333333,78871.01262,10223577
Czechia,2007,2.5,18050,7.3,17,73.463,24.3,98.18333333333334,78871.01262,10254233
Czechia,2008,2.5,18330,7.1,16.9,73.394,24,102.03750000000001,78871.01262,10343422
Czechia,2009,2.5,17350,6.9,16,73.324,22.9,90.25,78871.01262,10425783
Czechia,2010,2.5,17770,7.6,18.9,73.255,26.5,105.325,78871.01262,10462088
Czechia,2011,2.5,18120,7.7,17,73.185,24.7,115.57083333333333,78871.01262,10486731
Czechia,2012,2.4,17970,8.4,16.8,73.197,25.2,122.43333333333334,78871.01262,10505445
Czechia,2013,2.4,17970,8.6,17,73.29,25.6,120.8625,78871.01262,10516125
Czechia,2014,2.4,18370,8.4,18.8,73.384,27.2,121.06666666666666,78871.01262,10512419
Czechia,2015,2.4,19270,8.7,16.3,73.477,25,104.96666666666665,78871.01262,10538275
Czechia,2016,2.4,19760,9.1,15.6,73.57,24.7,95.96249999999999,78871.01262,10553843
Czechia,2017,2.4,20760,9.5,15.8,73.675,25.3,102.12083333333334,78871.01262,10578820
Czechia,2018,2.4,21320,9.8,15.5,73.792,25.3,108.425,78871.01262,10610055
Czechia,2019,2.3,22050,10,14.9,73.921,25,107.9375,78871.01262,10649800
Czechia,2020,2.3,20980,7.8,10.5,74.061,18.3,95.53333333333335,78871.01262,10693939
Czechia,2021,2.3,21830,6.5,8.5,74.214,15,109.54166666666667,78871.01262,10494836
Czechia,2022,2.3,21910,8.4,10.5,74.377,18.8,143.6625,78871.01262,10516707
Czechia,2023,2.3,21680,9,10.5,74.552,19.5,126.28750000000001,78871.01262,10827529
Czechia,2024,2.3,21910,9,10.5,74.738,19.5,125.86666666666667,78871.01262,10900555
Denmark,2003,2,47570,9.3,11.6,85.36,20.9,94.43611111,42947,5383507
Denmark,2004,2,48770,9.3,11.4,85.566,20.7,99.28888888888889,42947,5397640
Denmark,2005,2,49780,9.5,11.4,85.856,20.9,110.96944444444445,42947,5411405
Denmark,2006,2,51510,8.1,9.9,86.098,18,117.82499999999999,42947,5427459
Denmark,2007,2,51790,8.3,9.7,86.293,18,118.58333333333333,42947,5447084
Denmark,2008,2,51270,8.4,9.7,86.487,18.1,130.85000000000002,42947,5475791
Denmark,2009,2,48460,9.5,10.4,86.654,19.9,116.875,42947,5511451
Denmark,2010,2,49010,9.8,10.5,86.795,20.3,133.91666666666666,42947,5534738
Denmark,2011,2,49440,10,10.1,86.957,20,151.60277777777776,42947,5560628
Denmark,2012,2,49260,10.2,9.8,87.142,20.1,160.96944444444443,42947,5580516
Denmark,2013,2,49750,10.3,9.8,87.292,20,156.76944444444445,42947,5602628
Denmark,2014,2,50110,9.7,9.7,87.41,19.4,152.15277777777777,42947,5627235
Denmark,2015,2,50810,9.3,9.8,87.526,19,136.13888888888889,42947,5659715
Denmark,2016,2,51950,8.7,9.8,87.642,18.5,127.8638888888889,42947,5707251
Denmark,2017,2,53200,8.5,9.9,87.757,18.4,135.14722222222224,42947,5748769
Denmark,2018,2,53920,8.4,9.6,87.874,18,144.90555555555557,42947,5781190
Denmark,2019,2,54630,8.1,9.1,87.994,17.3,146.1638888888889,42947,5806081
Denmark,2020,2,53540,5.9,6.9,88.116,12.8,131.85833333333332,42947,5822763
Denmark,2021,2,56780,6.1,7,88.24,13.1,154.27777777777777,42947,5840045
Denmark,2022,2,56530,7.8,11,88.367,18.8,200.59166666666667,42947,5873420
Denmark,2023,2,56470,7.9,10.3,88.495,18.2,186.11111111111111,42947,5932654
Denmark,2024,2,58160,7.9,10.3,88.626,18.2,185.5027777777778,42947,5961249
Estonia,2003,2.4,13010,1.7,24.7,68.989,26.4,63.629583333333336,45399,1375190
Estonia,2004,2.4,13980,1.8,25.3,68.862,27.1,72.72541666666667,45399,1366250
Estonia,2005,2.4,15400,1.7,20.4,68.735,22.2,86.99541666666666,45399,1358850
Estonia,2006,2.4,17010,2,19.9,68.607,22,93.6725,45399,1350700
Estonia,2007,2.3,18400,2.2,18.4,68.479,20.6,94.77916666666665,45399,1342920
Estonia,2008,2.3,17510,2.1,16.5,68.351,18.6,115.03416666666668,45399,1338440
Estonia,2009,2.3,14980,2,15,68.223,16.9,99.19875,45399,1335740
Estonia,2010,2.3,15380,2,14.4,68.094,16.4,119.83916666666666,45399,1333290
Estonia,2011,2.3,16590,2,14,67.965,15.9,135.005,45399,1329660
Estonia,2012,2.2,17260,1.8,14.6,67.974,16.4,147.0675,45399,1325217
Estonia,2013,2.2,17630,1.7,14.4,68.122,16.1,141.56541666666666,45399,1320174
Estonia,2014,2.2,18280,2,14,68.269,16,136.17583333333332,45399,1315819
Estonia,2015,2.2,18650,1.9,15.8,68.416,17.7,117.575,45399,1314870
Estonia,2016,2.2,19190,2,18.3,68.563,20.2,113.10083333333334,45399,1315944
Estonia,2017,2.2,20270,2.2,17.6,68.717,19.8,128.19833333333335,45399,1315635
Estonia,2018,2.2,20970,2.5,17.1,68.88,19.6,143.45833333333334,45399,1319133
Estonia,2019,2.1,21650,2.2,17.9,69.051,20.1,144.66083333333333,45399,1324820
Estonia,2020,2.1,20960,1.9,9.9,69.229,11.8,129.24916666666667,45399,1328976
Estonia,2021,2.1,22670,2,8.8,69.415,10.7,146.96583333333334,45399,1330068
Estonia,2022,2.1,22370,2.3,12,69.609,14.4,200.82041666666666,45399,1331796
Estonia,2023,2.1,21210,2.3,14,69.81,16.4,184.4779166666667,45399,1365884
Estonia,2024,2.1,21060,2.3,14,70.019,16.4,178.51625,45399,1374687
Finland,2003,2.1,38300,4.7,10.9,82.638,15.6,91.85472222222222,336884,5206295
Finland,2004,2.1,39720,4.7,10.6,82.772,15.2,96.81944444444444,336884,5219732
Finland,2005,2.1,40680,4.8,10.3,82.905,15.1,106.73833333333333,336884,5236611
Finland,2006,2.1,42150,4.8,10.3,83.037,15.1,113.09583333333333,336884,5255580
Finland,2007,2.1,44210,5,10,83.168,15.1,113.68583333333333,336884,5276955
Finland,2008,2.1,44350,5.4,10.1,83.299,15.5,129.25083333333333,336884,5300484
Finland,2009,2.1,40570,5.1,10,83.429,15.1,111.64305555555556,336884,5326314
Finland,2010,2.1,41660,5.2,9.9,83.77,15.1,126.47166666666665,336884,5351427
Finland,2011,2.1,42460,5,9.8,84.313,14.9,143.9275,336884,5375276
Finland,2012,2.1,41620,5.3,9.8,84.841,15.1,154.98694444444445,336884,5401267
Finland,2013,2.1,41020,5.3,9.8,85.125,15.1,152.4672222222222,336884,5426674
Finland,2014,2,40650,5,9.8,85.175,14.8,148.07638888888889,336884,5451270
Finland,2015,2,40700,5.3,9.7,85.225,15,133.63583333333335,336884,5471753
Finland,2016,2,41640,4.9,10.5,85.275,15.4,125.22888888888889,336884,5487308
Finland,2017,2,42910,5.4,10.4,85.325,15.8,133.88888888888889,336884,5503297
Finland,2018,2,43360,5.7,10.1,85.382,15.8,140.9572222222222,336884,5513130
Finland,2019,2,43910,6.2,9.9,85.446,16.1,141.37333333333333,336884,5517919
Finland,2020,2,42740,3.8,9.2,85.517,13,128.30638888888888,336884,5525292
Finland,2021,1.9,43800,4,8.3,85.596,12.3,154.20166666666668,336884,5533793
Finland,2022,1.9,44010,6.4,9.4,85.681,15.8,206.06333333333333,336884,5548241
Finland,2023,1.9,43440,7.1,9.9,85.773,17,185.23833333333334,336884,5563970
Finland,2024,1.9,43280,7.1,9.9,85.872,17,171.1313888888889,336884,5603851
France,2003,2.3,32600,8.4,5,76.632,13.4,88.61055555555555,551500,61864088
France,2004,2.3,33300,8.7,5.1,76.883,13.8,96.06305555555555,551500,62292241
France,2005,2.3,33680,9.1,5.2,77.13,14.2,110.67333333333333,551500,62772870
France,2006,2.3,34360,9.4,5.3,77.377,14.7,118.10305555555556,551500,63229635
France,2007,2.3,35010,9.6,5.5,77.621,15.1,119.95527777777778,551500,63645065
France,2008,2.3,34960,10.1,5.7,77.868,15.8,137.8725,551500,64007193
France,2009,2.2,33800,9.4,5.2,78.117,14.6,111.35,551500,64350226
